date_time,timestamp,fm0229,fm0209
2026-03-05T05:22:47.000Z,1772688167,,
2026-03-05T05:22:48.000Z,1772688168,,
2026-03-05T05:22:49.000Z,1772688169,,
2026-03-05T05:22:50.000Z,1772688170,,
2026-03-05T05:22:51.000Z,1772688171,,
2026-03-05T05:22:52.000Z,1772688172,,
2026-03-05T05:22:53.000Z,1772688173,,
2026-03-05T05:22:54.000Z,1772688174,,
2026-03-05T05:22:55.000Z,1772688175,,
2026-03-05T05:22:56.000Z,1772688176,,
2026-03-05T05:22:57.000Z,1772688177,,
2026-03-05T05:22:58.000Z,1772688178,,
2026-03-05T05:22:59.000Z,1772688179,,
2026-03-05T05:23:00.000Z,1772688180,,
2026-03-05T05:23:01.000Z,1772688181,,
2026-03-05T05:23:02.000Z,1772688182,,
2026-03-05T05:23:03.000Z,1772688183,,
2026-03-05T05:23:04.000Z,1772688184,,
2026-03-05T05:23:05.000Z,1772688185,,
2026-03-05T05:23:06.000Z,1772688186,,
2026-03-05T05:23:07.000Z,1772688187,,
2026-03-05T05:23:08.000Z,1772688188,,
2026-03-05T05:23:09.000Z,1772688189,,
2026-03-05T05:23:10.000Z,1772688190,,
2026-03-05T05:23:11.000Z,1772688191,,
2026-03-05T05:23:12.000Z,1772688192,,
2026-03-05T05:23:13.000Z,1772688193,,
2026-03-05T05:23:14.000Z,1772688194,,
2026-03-05T05:23:15.000Z,1772688195,,
2026-03-05T05:23:16.000Z,1772688196,,
2026-03-05T05:23:17.000Z,1772688197,,
2026-03-05T05:23:18.000Z,1772688198,,
2026-03-05T05:23:19.000Z,1772688199,,
2026-03-05T05:23:20.000Z,1772688200,,
2026-03-05T05:23:21.000Z,1772688201,,
2026-03-05T05:23:22.000Z,1772688202,,
2026-03-05T05:23:23.000Z,1772688203,,
2026-03-05T05:23:24.000Z,1772688204,,
2026-03-05T05:23:25.000Z,1772688205,,
2026-03-05T05:23:26.000Z,1772688206,,
2026-03-05T05:23:27.000Z,1772688207,,
2026-03-05T05:23:28.000Z,1772688208,,
2026-03-05T05:23:29.000Z,1772688209,,
